timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768130025646,366,Soap Request,200,OK,Number of Users 1-2,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,366,0,0
1768130025663,367,Soap Request,200,OK,Number of Users 1-5,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,367,0,0
1768130025677,369,Soap Request,200,OK,Number of Users 1-1,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,369,0,0
1768130026012,456,Soap Request,200,OK,Number of Users 1-2,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,456,0,0
1768130026047,421,Soap Request,200,OK,Number of Users 1-1,text,true,,748,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,421,0,0
1768130026030,438,Soap Request,200,OK,Number of Users 1-5,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,438,0,0
1768130025885,717,Soap Request,200,OK,Number of Users 1-3,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,717,0,0
1768130025854,826,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,826,0,0
1768130026469,427,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,427,0,0
1768130026469,427,Soap Request,200,OK,Number of Users 1-2,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,427,0,0
1768130026469,428,Soap Request,200,OK,Number of Users 1-1,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,428,0,0
1768130026681,346,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,346,0,0
1768130026897,389,Soap Request,200,OK,Number of Users 1-2,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,389,0,0
1768130026897,389,Soap Request,200,OK,Number of Users 1-5,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,389,0,0
